skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
240,8.EE.C.8c,Systems of Linear Equations - Word Problems,8924,239,8.EE.C.8b,Systems of Linear Equations,8930
241,8.F.A.1,"Recognize functions (gaphs, tables, list of ordered pairs)",,,,,
242,8.F.A.2,Compare functions in different forms,,,,,
243,8.F.A.3,Recognize linear functions from equations,,,,,
249,8.F.B.4,Find y int from situation,,,,,
247,8.F.B.4,Finding Slope from Ordered Pairs,9424,134,6.NS.C.6c,Plotting on a Coordinate Plane,35008
254,8.F.B.4,Writing Linear Equations from Graphs,39162,134,6.NS.C.6c,Plotting on a Coordinate Plane,35008
247,8.F.B.4,Finding Slope from Ordered Pairs,9424,177,7.RP.A.2b,Identifying the Constant of Proportionality,85626
244,8.F.B.4,Finding Slope in an Equation,8949,177,7.RP.A.2b,Identifying the Constant of Proportionality,85626
251,8.F.B.4,Writing Linear Equations from Situations,205436,177,7.RP.A.2b,Identifying the Constant of Proportionality,85626
246,8.F.B.4,Writing Linear Equations from Slope and y-int,12449,244,8.F.B.4,Finding Slope in an Equation,8949
246,8.F.B.4,Writing Linear Equations from Slope and y-int,12449,245,8.F.B.4,Finding y-int in an Equation,9180
254,8.F.B.4,Writing Linear Equations from Graphs,39162,246,8.F.B.4,Writing Linear Equations from Slope and y-int,12449
248,8.F.B.4,Writing Linear Equations from Ordered Pairs,10597,246,8.F.B.4,Writing Linear Equations from Slope and y-int,12449
251,8.F.B.4,Writing Linear Equations from Situations,205436,246,8.F.B.4,Writing Linear Equations from Slope and y-int,12449
248,8.F.B.4,Writing Linear Equations from Ordered Pairs,10597,247,8.F.B.4,Finding Slope from Ordered Pairs,9424
245,8.F.B.4,Finding y-int in an Equation,9180,253,8.F.B.4,Finding x-int and y-int from a Graph,582906
253,8.F.B.4,Finding x-int and y-int from a Graph,582906,,,,
252,8.F.B.4,Find slope graph,,,,,
250,8.F.B.4,Find slope from situation,,,,,
